"date","number","street","tickets"
2014-02-18,800,"Beech St",1
2014-02-18,500,"F St",1
2014-02-18,5500,"Hardy Ave",1
2014-02-18,5700,"Hardy Ave",1
2014-02-18,600,"Island Ave",1
2014-02-18,5500,"Lindo Paseo ",1
2014-02-18,5700,"Lindo Paseo ",1
2014-02-18,5100,"Montezuma Pl",1
2014-02-18,5500,"Montezuma Rd",1
2014-02-18,5600,"Montezuma Rd",1
2014-02-18,5700,"Montezuma Rd",1
2014-02-18,6100,"Montezuma Rd",1
2014-02-18,600,"State St",1
2014-02-18,600,"Union St",1
2014-02-19,-1," St",1
2014-02-19,3900,"30Th St",1
2014-02-19,4000,"30Th St",1
2014-02-19,4100,"30Th St",1
2014-02-19,4300,"30Th St",1
2014-02-19,4700,"30Thst ",1
2014-02-19,4700,"Arizona St",1
2014-02-19,4700,"Boundary St",1
2014-02-19,3000,"El Cajon Blvd",1
2014-02-19,400,"Elm St",1
2014-02-19,800,"G St",1
2014-02-19,4700,"Idaho St",1
2014-02-19,4700,"Manfsield St",1
2014-02-19,700,"Market St",1
2014-02-19,4700,"Marlborough Ave",1
2014-02-19,4100,"Normal St",1
2014-02-19,800,"State St",1
2014-02-19,1700,"State St",1
2014-02-19,1900,"State St",1
2014-02-19,2800,"University Ave",1
2014-02-19,4700,"Utah St",1
2014-02-19,4700,"W.Mtn View Dr",1
2014-02-19,200,"Washington St",1
2014-02-19,300,"Washington St",1
2014-02-19,800,"Washington St",1
2014-02-20,-1,"287 Ave",1
2014-02-20,400,"2Nd Ave",1
2014-02-20,500,"2Nd Ave",1
2014-02-20,3100,"32Nd St",1
2014-02-20,2400,"Avd De La Playa ",1
2014-02-20,200,"B St",1
2014-02-20,2200,"Calle Clara ",1
2014-02-20,2300,"Calle Corta ",1
2014-02-20,2500,"Calle Del Oro ",1
2014-02-20,2600,"Calle Del Oro ",1
2014-02-20,8100,"Cam Del Sol ",1
2014-02-20,500,"E St",1
2014-02-20,700,"E St",1
2014-02-20,1000,"E St",1
2014-02-20,8100,"El Paseo Grande ",1
2014-02-20,500,"F St",1
2014-02-20,400,"Fir St",1
2014-02-20,600,"Hawthorn St",1
2014-02-20,800,"Hawthorn St",1
2014-02-20,900,"Hawthorn St",1
2014-02-20,200,"India St",1
2014-02-20,100,"Island Ave",1
2014-02-20,500,"Island Ave",1
2014-02-20,900,"Kalmia St",1
2014-02-20,5100,"Lindo Paseo ",1
2014-02-20,5500,"Lindo Paseo ",1
2014-02-20,5600,"Lindo Paseo ",1
2014-02-20,5700,"Lindo Paseo ",1
2014-02-20,5800,"Lindo Paseo ",1
