id,stusab,chariter,sequence,logrecno,b08526001,b08526002,b08526003,b08526004,b08526005,b08526006,b08526007,b08526008,b08526009,b08526010,b08526011,b08526012,b08526013,b08526014,b08526015,b08526016,b08526017,b08526018,b08526019,b08526020,b08526021,b08526022,b08526023,b08526024,b08526025,b08526026,b08526027,b08526028,b08526029,b08526030,b08526031,b08526032,b08526033,b08526034,b08526035,b08526036,b08526037,b08526038,b08526039,b08526040,b08526041,b08526042,b08526043,b08526044,b08526045,b08526046,b08526047,b08526048,b08526049,b08526050,b08526051,b08526052,b08526053,b08526054,b08526055,b08526056,b08526057,b08526058,b08526059,b08526060,b08526061,b08526062,b08526063,b08526064,b08526065,b08526066,b08526067,b08526068,b08526069,b08526070,b08526071,b08526072,b08526073,b08526074,b08526075,b08526076,b08526077,b08526078,b08526079,b08526080,b08526081,b08526082,b08526083,b08526084,b08526085,b08526086,b08526087,b08526088,b08526089,b08526090,b08526091,b08526092,b08526093,b08526094,b08526095,b08526096,b08526097,b08526098,b08526099,b08526100,b08526101,b08526102,b08526103,b08526104,b08526105,geoid,gvid,sumlevel,jam_flags
873,ak,0,5,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0255140,,,
874,ak,0,5,2235,1569.0,22.0,252.0,227.0,0.0,155.0,44.0,52.0,37.0,37.0,383.0,277.0,60.0,18.0,5.0,1154.0,13.0,152.0,206.0,0.0,142.0,44.0,52.0,37.0,29.0,325.0,105.0,41.0,8.0,0.0,295.0,0.0,90.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,28.0,136.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,16.0,9.0,0.0,0.0,45.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.0,0.0,0.0,16000US0255910,,,
875,ak,0,5,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256220,,,
876,ak,0,5,2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256250,,,
877,ak,0,5,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256260,,,
878,ak,0,5,2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256320,,,
879,ak,0,5,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256350,,,
880,ak,0,5,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256600,,,
881,ak,0,5,2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0256680,,,
882,ak,0,5,2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0257340,,,
883,ak,0,5,2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0258330,,,
884,ak,0,5,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0258550,,,
885,ak,0,5,2246,4888.0,52.0,280.0,85.0,50.0,420.0,284.0,336.0,182.0,344.0,1340.0,764.0,219.0,507.0,25.0,3723.0,20.0,186.0,24.0,44.0,337.0,212.0,277.0,129.0,239.0,1147.0,425.0,196.0,462.0,25.0,541.0,19.0,78.0,37.0,0.0,22.0,40.0,47.0,3.0,28.0,91.0,126.0,12.0,38.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,326.0,4.0,0.0,0.0,6.0,36.0,28.0,0.0,0.0,29.0,24.0,192.0,3.0,4.0,0.0,44.0,0.0,8.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,21.0,0.0,3.0,0.0,205.0,9.0,8.0,24.0,0.0,25.0,0.0,9.0,31.0,18.0,73.0,0.0,8.0,0.0,0.0,16000US0258660,,,
886,ak,0,5,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0259320,,,
887,ak,0,5,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0259540,,,
888,ak,0,5,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0259650,,,
889,ak,0,5,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0260200,,,
890,ak,0,5,2251,1590.0,113.0,124.0,231.0,17.0,163.0,90.0,0.0,33.0,45.0,427.0,78.0,56.0,135.0,78.0,846.0,94.0,16.0,108.0,0.0,62.0,72.0,0.0,18.0,0.0,254.0,37.0,40.0,94.0,51.0,192.0,0.0,83.0,0.0,0.0,23.0,18.0,0.0,0.0,3.0,42.0,0.0,9.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,15.0,17.0,66.0,0.0,65.0,0.0,0.0,0.0,0.0,98.0,7.0,0.0,41.0,13.0,75.0,4.0,8.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,34.0,7.0,0.0,0.0,16000US0260310,,,
891,ak,0,5,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0260460,,,
892,ak,0,5,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0260640,,,
893,ak,0,5,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0260750,,,
894,ak,0,5,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0260860,,,
895,ak,0,5,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0261080,,,
896,ak,0,5,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0261120,,,
897,ak,0,5,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0261190,,,
898,ak,0,5,2259,374.0,0.0,21.0,0.0,0.0,55.0,12.0,0.0,0.0,48.0,108.0,6.0,15.0,109.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,55.0,0.0,9.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,4.0,50.0,0.0,15.0,72.0,0.0,113.0,0.0,9.0,0.0,0.0,3.0,6.0,0.0,0.0,39.0,32.0,3.0,0.0,21.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,16000US0261630,,,
899,ak,0,5,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0261700,,,
900,ak,0,5,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0261788,,,
901,ak,0,5,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0262125,,,
902,ak,0,5,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0262285,,,
903,ak,0,5,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0262510,,,
904,ak,0,5,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0262620,,,
905,ak,0,5,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0263170,,,
906,ak,0,5,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0263280,,,
907,ak,0,5,2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0263390,,,
908,ak,0,5,2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0263610,,,
909,ak,0,5,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0263870,,,
910,ak,0,5,2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0264240,,,
911,ak,0,5,2272,4059.0,1875.0,647.0,238.0,234.0,47.0,182.0,35.0,0.0,479.0,51.0,79.0,150.0,42.0,0.0,957.0,515.0,146.0,74.0,37.0,0.0,11.0,12.0,0.0,54.0,0.0,40.0,68.0,0.0,0.0,642.0,246.0,183.0,9.0,29.0,0.0,0.0,0.0,0.0,137.0,11.0,0.0,10.0,17.0,0.0,68.0,36.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,377.0,133.0,82.0,0.0,16.0,0.0,13.0,0.0,0.0,85.0,39.0,9.0,0.0,0.0,0.0,2015.0,945.0,215.0,155.0,152.0,37.0,158.0,23.0,0.0,203.0,0.0,30.0,72.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000US0264380,,,
912,ak,0,5,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0264600,,,
913,ak,0,5,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0264820,,,
914,ak,0,5,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0264930,,,
915,ak,0,5,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0264980,,,
916,ak,0,5,2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0265345,,,
917,ak,0,5,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0265590,,,
918,ak,0,5,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0265700,,,
919,ak,0,5,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0265800,,,
920,ak,0,5,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0266140,,,
921,ak,0,5,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0266360,,,
922,ak,0,5,2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0266470,,,
923,ak,0,5,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0266510,,,
924,ak,0,5,2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0266550,,,
925,ak,0,5,2286,752.0,28.0,4.0,572.0,18.0,7.0,17.0,3.0,7.0,0.0,56.0,13.0,6.0,21.0,0.0,110.0,2.0,1.0,5.0,0.0,1.0,13.0,3.0,3.0,0.0,55.0,9.0,4.0,14.0,0.0,19.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,7.0,0.0,499.0,18.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,16000US0267020,,,
926,ak,0,5,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0267460,,,
927,ak,0,5,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0267570,,,
928,ak,0,5,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0267680,,,
929,ak,0,5,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0268230,,,
930,ak,0,5,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0268340,,,
931,ak,0,5,2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0268370,,,
932,ak,0,5,2293,1944.0,52.0,142.0,36.0,72.0,124.0,87.0,20.0,57.0,195.0,514.0,196.0,104.0,345.0,0.0,1449.0,34.0,79.0,0.0,70.0,91.0,80.0,20.0,44.0,99.0,431.0,146.0,48.0,307.0,0.0,214.0,0.0,43.0,36.0,0.0,14.0,3.0,0.0,13.0,22.0,14.0,12.0,27.0,30.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,8.0,0.0,169.0,11.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,15.0,57.0,38.0,29.0,0.0,0.0,60.0,7.0,20.0,0.0,2.0,0.0,4.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16000US0268560,,,
933,ak,0,5,2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0268670,,,
934,ak,0,5,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0268890,,,
935,ak,0,5,2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0269770,,,
936,ak,0,5,2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0270100,,,
937,ak,0,5,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0270320,,,
938,ak,0,5,2299,4607.0,296.0,330.0,102.0,60.0,552.0,488.0,70.0,89.0,245.0,1329.0,411.0,248.0,246.0,141.0,2586.0,29.0,211.0,60.0,22.0,372.0,247.0,38.0,66.0,113.0,831.0,167.0,172.0,161.0,97.0,735.0,0.0,50.0,0.0,0.0,90.0,102.0,0.0,23.0,79.0,232.0,83.0,28.0,48.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,556.0,34.0,50.0,42.0,0.0,54.0,7.0,25.0,0.0,8.0,163.0,115.0,12.0,19.0,27.0,440.0,226.0,19.0,0.0,0.0,36.0,39.0,0.0,0.0,45.0,22.0,28.0,0.0,8.0,17.0,232.0,7.0,0.0,0.0,38.0,0.0,93.0,7.0,0.0,0.0,23.0,18.0,36.0,10.0,0.0,16000US0270540,,,
939,ak,0,5,2300,599.0,0.0,30.0,0.0,0.0,55.0,100.0,11.0,0.0,53.0,16.0,270.0,9.0,55.0,0.0,261.0,0.0,26.0,0.0,0.0,23.0,77.0,11.0,0.0,49.0,11.0,33.0,0.0,31.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,0.0,162.0,4.0,16.0,0.0,41.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,21.0,0.0,5.0,0.0,69.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,0.0,0.0,16000US0270760,,,
940,ak,0,5,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0270870,,,
941,ak,0,5,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0270930,,,
942,ak,0,5,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0271090,,,
943,ak,0,5,2304,4672.0,140.0,361.0,36.0,63.0,775.0,193.0,62.0,250.0,145.0,1513.0,568.0,290.0,276.0,0.0,3728.0,130.0,238.0,36.0,57.0,645.0,168.0,49.0,156.0,79.0,1277.0,424.0,224.0,245.0,0.0,484.0,0.0,55.0,0.0,6.0,64.0,0.0,0.0,46.0,36.0,132.0,61.0,53.0,31.0,0.0,43.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,55.0,42.0,0.0,0.0,0.0,175.0,10.0,40.0,0.0,0.0,62.0,0.0,0.0,0.0,30.0,16.0,12.0,5.0,0.0,0.0,116.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,33.0,29.0,8.0,0.0,0.0,16000US0271640,,,
944,ak,0,5,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0272190,,,
945,ak,0,5,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0272960,,,
946,ak,0,5,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0273070,,,
947,ak,0,5,2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0273290,,,
948,ak,0,5,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0273400,,,
949,ak,0,5,2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0273950,,,
950,ak,0,5,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0274340,,,
951,ak,0,5,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0274525,,,
952,ak,0,5,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US0274610,,,
